SpeakerId,EventId,SpeakerOrder,FirstName,LastName,Title,Topic,Facebook,Email,Website,Twitter,Description,PhotoUrl,ScheduleDate,Session,CreateDate,CreateBy
1,1,1,Koos ,Bekker,"CEO, Naspers",,,,,,"Koos Bekker led the founding team of M-Net in 1985, serving as chief executive of the MIH group until 1997. He was also a founding director of MTN. He is a director of Media24, MIH B.V., MIH (Mauritius) Limited, MIH Holdings, MultiChoice South Africa Holdings and other companies in the wider group. He also serves on the local organising committee for the 2010 Fifa Soccer World Cup and the Council of Stellenbosch University. He has been chief executive of Naspers since 1997.",http://naspers.com/cmsAdmin/uploads/thumb/bekker.jpg,,1,7/7/11,Brook
2,1,2,Steve ,Pacak,"CFO, Naspers",,,,,,"Steve Pacak was reappointed to the board as financial director on 1 April 2009 after a three-month sabbatical. Steve began his career with the Naspers group as group financial manager of M-Net in 1988 and held various executive positions in the MIH group. Steve was the chief financial officer of MIH Holdings (MIHH) from November 1993 to January 1998. He is a director of Media24, MIH B.V., MIH (Mauritius) Limited, MIH Holdings, MultiChoice South Africa Holdings and other companies within the wider Naspers group. Steve was appointed an executive director of Naspers in 1998.",http://naspers.com/cmsAdmin/uploads/thumb/corp_steve_pacak.jpg,,1,7/7/11,Brook
3,1,3,Antonie ,Roux,"CEO, MIH and of Naspers Internet Operations",,,,,,"Antonie Roux joined the Naspers group in 1979 and was a founding member of M-Net in 1985. In 1997, Mr. Roux was appointed chief executive officer of M-Web South Africa and in 2002 as chief executive officer of the Naspers internet operations. Effective 1 April 2011, he was appointed as chief executive officer of the MIH group.",http://naspers.com/cmsAdmin/uploads/thumb/internet_antonie_roux_002.jpg,,1,7/7/11,Brook
5,1,5,Basil,Sgourdos,"Group CFO, MIH",,,,,,"Basil is a qualified South African Chartered Accountant having worked for PriceWaterhouseCoopers from 1989 to 1994 whereafter he then joined the group initially as the Finance Manager of South African Operations division in Multichoice, then as Chief Financial Officer of our investment in Thai listed United Broadcasting Corporation Pcl. where he remained for 10 years, followed by 2 years in Amsterdam as General Manager of Pay TV business development globally before taking on his current role as Group Chief Financial Officer of MIH from January 2009.",http://naspers.com/cmsAdmin/uploads/thumb/corporate_basil_sgourdos.jpg,,1,7/7/11,Brook
99,1,81,Jacques,van Niekerk,"CEO, SWAT, CTO MIH Internet",,,,,,"Jacques joined the Naspers group in 2006. As CTO of MIH Internet, he is responsible for sharing technical knowledge amongst group companies, and for establishing MIH Internet as a career destination for world-class technologists. He is also responsible for the MIH MediaLab. As CEO of MIH SWAT he manages a team with offices in Cape Town, Sao Paolo and New Delhi. SWAT provides strategic technical support to the global Internet business in the form of M&A assistance, software development, maintenance of the employee network, research and consulting. Jacques holds an Honours Degree in Econometrics (RAU) and a Masters Degree in Knowledge Management (Stellenbosch). He has twenty years experience as software engineer, consultant and architect in a wide range of industries.",http://naspers.com/cmsAdmin/uploads/thumb/internet_jacques_van_niekerk.jpg,,2,7/7/11,Brook
86,1,68,Hein ,Pretorius,"CEO, MIH Internet Europe",,,,,,"Hein joined the Naspers Group in 2000 as CEO of Kalahari.net. In 2002 he became CEO of N-Direct (Kalahari.net and The Book & Music Clubs) and in 2004 Hein relocated to China in the role as Internet Business Development Director, first to Shanghai and then to Beijing, to further the group’s investment activities. Hein was involved in the investments in Mail.ru, Nimbuzz, Gadu-Gadu and the Tradus Group (Ricardo & Allegro) and was relocated to the Netherlands in 2007 taking on the role of COO for the Internet Division in Europe. In September 2008 he was appointed as the CEO of the Internet Division in Europe. He has more than 14 years experience in the Internet, Technology & Telecommunications industries and is married with two children.",http://naspers.com/cmsAdmin/uploads/thumb/internet_hein_pretorius.jpg,,2,7/7/11,Brook
9,1,9,Arjan ,Bakker,"Board Member, Allegro",,,,,,"Arjan Bakker was a founding member and director of Cadena, a company focusing on IT solutions from 1991-1999. In 1999 he co-founded Allegro.pl, the leading auction service in Poland. During the past 10 years he has developed a group of services in Poland and in Central and Eastern Europe, making Allegro Group one of the most successful enterprises.",http://naspers.com/cmsAdmin/uploads/thumb/internet_arjan_bakker.jpg,,2,7/7/11,Brook
27,1,27,Dmitry ,Grishin,"CEO, Mail.ru",,,,,,Dmitry Grishin graduated from Moscow State Technical University in 2001 with a degree of honour in computer-aided design. From 2001 to 2003 he served as Technical Director of Mail.ru. He was appointed Chief Executive Officer of Mail.ru in April 2003. Currently Mr Grishin also serves on the board of directors of Mamba and Molotok.,http://naspers.com/cmsAdmin/uploads/thumb/internet_dmitry_grishin.jpg,,2,7/7/11,Brook
35,1,35,Michal ,Klar,"Head of e-commerce, South East Asia, MIH Internet",,,,,,"Currently head of ecommerce for MIH SEA,
working with Sulit, Multiply, Lelong and Sanook
among others. Based in Singapore. Previously
spent several exciting years in Allegro in Poland
and CEE.",http://b209.photo.store.qq.com/http_imgload.cgi?/rurl4_b=df7de7b65e0d5c5825a2190c19b7550b32cfff35815bee7433024dc61763e9a7e38e2a78e41794d04c66776b843aa0fcd90f2418115d9339212cddc964b49014cac08bbed719e915e552a78cd8ded99e1231b250&a=209&b=209,,2,7/7/11,Brook
84,1,77,Francois ,Theron,"CEO, DStv Mobile",,,,,,"Francois Theron has a Bachelor of Commerce (Marketing) degree and a MBA from the University of Cape Town, Graduate Business School. He has 14 years of both local and international experience in the subscription television and telecommunications industries. He first joined the MIH Group in 1995 as CEO of M-Tel, a Service Provider company to MTN. In 1996, M-Tel was sold to MTN and he was appointed of MultiChoice Middle East and MultiChoice Egypt, based in Dubai. In 1999 Mr Theron moved to Thailand as CEO of the United Broadcasting Corporation (UBC), a publically listed company. During his tenure, he turned the business from a loss making concern into a profitable venture and served on the main board of the Asian Cable and Satellite Association.  In 2006, Francois returned to South Africa as CEO DStv MOBILE Africa which lead the development and roll out of MIH’s DVB-H operations in Africa. In 2009 he was appointed CEO DStv MOBILE.",http://naspers.com/cmsAdmin/uploads/thumb/paytv_francois_theron.jpg,,3,7/7/11,Brook
4,1,4,Cobus ,Stofberg,Senior Executive and Corporate Advisor to the MIH Group,,,,,,"Cobus Stofberg began his affiliation with the Naspers group in 1985. He has held a variety of positions within the MIH group of companies, including that of chief executive officer, from which he stepped down on 1 April 2011. He continues to be involved as senior executive and corporate advisor to the MIH group on a full-time basis.",http://naspers.com/cmsAdmin/uploads/thumb/corporate_cobus_stofberg.jpg,,1,7/7/11,Brook
7,1,7,André ,Coetzee,"General Counsel, Naspers",,,,,,"Andre Coetzee has been a legal advisor to the MIH group and associated companies since 1985. Before joining the Naspers group, Dr. Coetzee was a partner at Mallinicks Attorneys from 1984 to 1999. In June 1999 he became the MIH group’s general counsel.",http://naspers.com/cmsAdmin/uploads/thumb/corporate_andre_coetzee_001.jpg,,1,7/7/11,Brook
22,1,22,Ben ,Colayco  ,"COO, Level Up!",,,,,,"Ben Colayco is a founder of the online game
company Level Up! and serves as the group's
Chief Operating Off icer for all its territories: Brazil,
USA and the Philippines. He also oversees
content acquisition, partnerships and new
business development.",http://b209.photo.store.qq.com/http_imgload.cgi?/rurl4_b=df7de7b65e0d5c5825a2190c19b7550b4fb172e8251cad62dbe7c996dfffc13e63514c29b60486e2bc6ed3b8d4f0a94c57e7788258f051242393076ee57dacb3debb5d9366b603bd91bf05a692070413068f87ea&a=209&b=209,,2,7/7/11,Brook
81,1,63,Jacques van ,Novitzkas,"CEO, Kalahari.com, MIH Internet Africa",,,,,,"Gary Novitzkas joined the group in 2010 as GM Marketplace for kalahari.net, a pioneer and market leader in the South African online retail industry, and he was appointed CEO in the same year. Prior to working for MIH, Gary spent 5 years at VeriSign Inc in various positions including Sales Director for Worldwide Retail Sales and Country Manager for South Africa. He is married and has three children.",http://naspers.com/cmsAdmin/uploads/thumb/internet_gary_novitzkas_001.jpg,,2,7/7/11,Brook
82,1,64,Alec ,Oxenford,"Co-CEO, OLX",,,,,,"Alec Oxenford is an Argentine serial entrepreneur focused on the Internet Space. In March of 2006, Alec co-founded OLX.com , Inc. with business partner Fabrice Grinda, in the hopes of building the largest free local classified site in the world. As co-founder and co-CEO, Alec leads the company’s Buenos Aires and Sao Paulo offices where the technology, content and customer service teams are based. Prior to OLX, in 1999, Alec foundedDeRemate.com, which he built into one of the two largest online trading platforms in Latin America. DeRemate was sold to an eBay affiliate in 2005. In 2003, Alec also co-founded DineroMail.com, a leading payment platform in Latin America. Before becoming an entrepreneur, Alec worked as a business consultant for The Boston Consulting Group in Europe and Latin America where he advised top management of leading companies on market strategy and organizational effectiveness. Alec participates in numerous NGO Boards and was elected Young Global Leader by the World Economic Forum. Alec graduated as MBA with Distinction from Harvard Business School (97), having received First and Second Year Honors.",http://naspers.com/cmsAdmin/uploads/thumb/alec_oxenford.jpg,,2,7/7/11,Brook
